,0
669,ENSG00000116285
670,ENSG00000178997
671,ENSG00000134138
672,ENSG00000137266
673,ENSG00000140451
674,ENSG00000013374
675,ENSG00000142609
676,ENSG00000167565
677,ENSG00000230873
678,ENSG00000150401
679,ENSG00000104957
680,ENSG00000196923
681,ENSG00000251247
682,ENSG00000099992
683,ENSG00000187730
684,ENSG00000103740
685,ENSG00000241404
686,ENSG00000170989
687,ENSG00000138642
688,ENSG00000112941
689,ENSG00000147454
690,ENSG00000110218
691,ENSG00000167034
692,ENSG00000105880
693,ENSG00000183655
694,ENSG00000186487
695,ENSG00000122591
696,ENSG00000101104
697,ENSG00000100346
698,ENSG00000145780
699,ENSG00000204138
700,ENSG00000174136
701,ENSG00000183813
702,ENSG00000172216
703,ENSG00000109339
704,ENSG00000168621
705,ENSG00000166016
706,ENSG00000132109
707,ENSG00000181963
708,ENSG00000120217
709,ENSG00000108771
710,ENSG00000105639
711,ENSG00000086300
712,ENSG00000132003
713,ENSG00000138135
714,ENSG00000118412
715,ENSG00000095794
716,ENSG00000137959
717,ENSG00000107201
718,ENSG00000133106
719,ENSG00000166343
720,ENSG00000134574
721,ENSG00000089091
722,ENSG00000111701
723,ENSG00000107485
724,ENSG00000136870
725,ENSG00000081181
726,ENSG00000168724
727,ENSG00000196092
728,ENSG00000141497
729,ENSG00000006128
730,ENSG00000161921
731,ENSG00000100038
732,ENSG00000119922
733,ENSG00000132535
734,ENSG00000260230
735,ENSG00000137413
736,ENSG00000102531
737,ENSG00000197632
738,ENSG00000137965
739,ENSG00000242550
740,ENSG00000107864
741,ENSG00000270800
742,ENSG00000167654
743,ENSG00000126870
744,ENSG00000196684
745,ENSG00000099812
746,ENSG00000197816
747,ENSG00000065989
748,ENSG00000111262
749,ENSG00000127415
750,ENSG00000101347
751,ENSG00000163293
752,ENSG00000151461
753,ENSG00000165898
754,ENSG00000122691
755,ENSG00000124766
756,ENSG00000151849
757,ENSG00000113108
758,ENSG00000149311
759,ENSG00000177595
760,ENSG00000198060
761,ENSG00000198963
762,ENSG00000168876
763,ENSG00000156218
764,ENSG00000177542
765,ENSG00000186567
766,ENSG00000055332
767,ENSG00000083223
768,ENSG00000075826
769,ENSG00000183742
770,ENSG00000075426
771,ENSG00000156959
772,ENSG00000137936
773,ENSG00000136141
774,ENSG00000177663
775,ENSG00000079215
776,ENSG00000165917
777,ENSG00000171855
778,ENSG00000042062
779,ENSG00000134627
780,ENSG00000136267
781,ENSG00000181016
782,ENSG00000006652
783,ENSG00000162415
784,ENSG00000187860
785,ENSG00000132874
786,ENSG00000134070
787,ENSG00000112599
788,ENSG00000124159
789,ENSG00000196832
790,ENSG00000198837
791,ENSG00000145936
792,ENSG00000116514
793,ENSG00000176994
794,ENSG00000158286
795,ENSG00000283267
796,ENSG00000184995
797,ENSG00000100298
798,ENSG00000178199
799,ENSG00000105642
800,ENSG00000134107
801,ENSG00000246922
802,ENSG00000136367
803,ENSG00000163006
804,ENSG00000272333
805,ENSG00000167680
806,ENSG00000231852
807,ENSG00000126246
808,ENSG00000147883
809,ENSG00000137825
810,ENSG00000102468
811,ENSG00000113240
812,ENSG00000163719
813,ENSG00000214128
814,ENSG00000120690
815,ENSG00000196116
816,ENSG00000137033
817,ENSG00000089692
818,ENSG00000204613
819,ENSG00000162298
820,ENSG00000187553
821,ENSG00000095596
822,ENSG00000145365
823,ENSG00000198799
824,ENSG00000108773
825,ENSG00000120688
826,ENSG00000152284
827,ENSG00000162592
828,ENSG00000126653
829,ENSG00000142102
830,ENSG00000171611
831,ENSG00000090554
832,ENSG00000166317
833,ENSG00000167549
834,ENSG00000138778
835,ENSG00000178338
836,ENSG00000079691
837,ENSG00000146067
838,ENSG00000185477
839,ENSG00000138035
840,ENSG00000141258
841,ENSG00000124145
842,ENSG00000124782
843,ENSG00000125844
844,ENSG00000140287
845,ENSG00000142920
846,ENSG00000154127
847,ENSG00000004846
848,ENSG00000119682
849,ENSG00000162004
850,ENSG00000133401
851,ENSG00000096063
852,ENSG00000113262
853,ENSG00000145623
854,ENSG00000129749
855,ENSG00000196199
856,ENSG00000120616
857,ENSG00000159873
858,ENSG00000234127
859,ENSG00000136169
860,ENSG00000185946
