Gene	Papio anubis FC	Papio anubis P-value	Papio anubis Q-value	Gorilla gorilla FC	Gorilla gorilla P-value	Gorilla gorilla Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value	Saimiri boliviensis boliviensis FC	Saimiri boliviensis boliviensis P-value	Saimiri boliviensis boliviensis Q-value	Pongo abelii FC	Pongo abelii P-value	Pongo abelii Q-value	Pan paniscus FC	Pan paniscus P-value	Pan paniscus Q-value	Pan troglodytes FC	Pan troglodytes P-value	Pan troglodytes Q-value	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca nemestrina FC	Macaca nemestrina P-value	Macaca nemestrina Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value
ENSG00000138395	-2.215500347	0.093480067	0.230966611	-1.934379553	0.007682636	0.038681453	-0.726138658	0.319173652	0.648048993	-0.31672017	0.815081631	1	-0.511726805	0.114419675	0.341234046	-2.324180102	5.57E-20	2.38E-18	-1.657531458	8.16E-06	7.15E-05	-1.506100588	0.001415343	0.008457113	-2.600878855	1.32E-07	2.76E-06	-0.811252626	0.271740009	0.648194479
ENSG00000101343	0.14620451	0.26669884	0.505837461	0.062199595	0.645725236	1	0.141425771	0.129468955	0.348968433	0.052704728	0.58340078	0.861088729	0.047506662	0.748992575	1	0.157396824	0.250559422	0.522692654	0.000821481	0.992924902	1	-0.215323483	0.135053245	0.331897098	0.096325747	0.466224411	0.829904113	0.215407824	0.020928777	0.112510683
ENSG00000102038	-0.020978955	0.876213747	1	0.277504867	0.021227846	0.089126256	-0.714129066	0.055136532	0.180794026	-1.085103657	5.16E-12	1.04E-10	0.20384376	0.080025942	0.264204819	-0.030652088	0.851438542	1	-0.115890174	0.131229076	0.325306668	-0.171322435	0.351296008	0.632480484	-0.484772477	8.15E-05	0.000815837	-0.261075541	0.022061563	0.117460179
ENSG00000156395	1.362220383	0.558753123	0.8365796	0.886115668	0.237716827	0.542924358	-0.469156841	0.895845735	1	1.205073316	0.412497382	0.685481431	-0.412343156	0.730483362	1	0.612163838	1	1	0	1	1	-0.052784671	1	1	-0.456800055	0.473061388	0.837501299	0.017162914	0.978361303	1
ENSG00000116030	0.17953044	0.270014296	0.50982336	-0.149292407	0.330196371	0.666882776	0.253081101	0.001315545	0.007788826	0.110596394	0.291652243	0.537431591	1.881019989	0.441839421	0.81975485	0.293940731	0.06236527	0.18356076	0.167020659	0.038524756	0.120362241	0.216786767	0.209483911	0.448078604	-0.847249698	1	1	-0.003792819	0.972366222	1
ENSG00000121671	0.115400853	0.485394949	0.768700511	0.500975142	0.053234156	0.184227226	0.057117096	0.575241089	0.951207377	-0.009577457	0.946759571	1	0.888462802	0.000718015	0.006141073	-0.07117861	0.626227251	0.968597254	0.459750336	7.45E-06	6.59E-05	-0.21961541	0.212365795	0.452645456	0.358442996	0.011715496	0.053592363	0.216906677	0.12924251	0.413284823
ENSG00000173848	0.549403515	0.00164086	0.007479374	-0.003347338	0.990408087	1	0.338978864	0.002645938	0.014315017	1.146074369	3.41E-09	4.83E-08	0.02663262	0.885030603	1	0.323576458	0.23481312	0.497593703	-0.270735243	0.138824847	0.339544231	0.521107631	0.001871339	0.010770996	-0.26934256	0.122019425	0.336658726	0.198676822	0.086916119	0.316822326
ENSG00000181830	0.5870908	0.004386442	0.017730366	0.500523666	0.012770257	0.058786414	-0.160122224	0.418457721	0.777312945	-0.090750697	0.561792892	0.838298973	0.289364874	0.185791579	0.473477102	0.210296067	0.090835682	0.247316726	0.420109547	1.32E-06	1.37E-05	0.575745402	0.021039294	0.080488575	0.146240896	0.436851436	0.794912643	0.10071289	0.502665425	0.897516525
ENSG00000135218	-1.180288379	0.189387739	0.396103504	-0.502857417	0.470847366	0.847610816	1.462853534	0.269286045	0.581627942	0.139161848	0.739574113	1	1.751013667	0.32465422	0.676869819	-1.708698454	3.99E-06	3.99E-05	-0.9025744	0.072005008	0.201614024	1.325857047	0.020824468	0.079837259	-1.325946026	0.104903708	0.30002892	-0.413533273	0.627136598	0.985834252
ENSG00000009694	-0.041028717	1	1	0	1	1	-0.574240007	0.699252587	1	-2.562936694	0.07387158	0.187597237	-1.132070239	0.249569	0.567240208	0	1	1	-0.876491851	1	1	0	1	1	1.244613869	0.632939289	0.984737157	-0.490834238	1	1
