Gene	Homo sapiens FC	Homo sapiens P-value	Homo sapiens Q-value	Macaca mulatta FC	Macaca mulatta P-value	Macaca mulatta Q-value	Rattus norvegicus FC	Rattus norvegicus P-value	Rattus norvegicus Q-value	Mus musculus FC	Mus musculus P-value	Mus musculus Q-value
ENSG00000151572	-0.013368335	0.972071242	1	1.454583243	0.061262899	0.205179826	0.411845967	1	1	-1.299326176	0.316395843	0.9466661
ENSG00000056291	1.843380308	0.51639458	0.919476369	0	1	1	0	1	1	-1.969755424	1	1
ENSG00000185100	0.048461541	0.960774743	1	-0.5602984	0.104657871	0.30292226	0.051020253	0.946905133	1	-0.266520404	0.570580596	1
ENSG00000184990	-0.114918973	0.50636542	0.919476369	-0.239873605	0.146431213	0.384658321	-0.223470261	0.261747796	0.925816307	0.1195115	0.689479081	1
ENSG00000142208	-0.090714269	0.53212686	0.93439959	-0.448353304	0.001347805	0.010607517	-0.489521238	0.009382588	0.117578252	-0.126819424	0.456641866	1
ENSG00000197081	-0.101894445	0.572847471	0.972784079	-0.451027341	0.000664211	0.006022064	0.024424728	0.92520211	1	-0.408111161	0.156053074	0.665684587
ENSG00000130368	2.577003769	0.000109218	0.002126307	-0.614892042	1	1	0	1	1	0	1	1
ENSG00000156140	0.043823101	0.9517568	1	-0.083315372	0.864114727	1	1.573410981	0.017789232	0.186199072	0.176614926	0.890286348	1
ENSG00000146453	0.078473079	0.96803808	1	2.58484598	0.049172283	0.174349849	3.553667364	7.82E-06	0.000305333	0.327072943	0.685863339	1
ENSG00000163626	-0.375366199	0.023374664	0.137716196	-0.279235304	0.292101431	0.606982018	0.634943466	0.003309161	0.05353198	0.760010137	0.009994718	0.105806993
ENSG00000256870	0	1	1	0	1	1	0.597425984	1	1	0.622419223	0.180071511	0.718043807
ENSG00000115112	-0.235008869	0.749952514	1	-0.286545321	0.867190709	1	1.508404992	0.007967319	0.104079954	0.506115643	0.45845129	1
ENSG00000120438	-0.305303592	0.044834482	0.215814551	-0.349651387	0.008076441	0.044141117	-0.331620757	0.07371035	0.466398289	-0.042129469	0.800627042	1
ENSG00000132466	0.140006616	0.292374276	0.690690405	0.178962659	0.204068994	0.484102682	0.108692378	0.581686421	1	0.553020308	0.000831503	0.014381899
ENSG00000120800	-0.078226872	0.514696433	0.919476369	-0.18573859	0.307180156	0.627867563	0.08359703	0.642003965	1	-0.285199387	0.163342126	0.681056336
ENSG00000074054	-0.038186283	0.785955435	1	-0.16552779	0.433429289	0.787164222	0.27473449	0.186536428	0.777125738	-0.073523044	0.648522298	1
ENSG00000166428	-0.084710517	1	1	-0.626410657	1	1	0	1	1	4.841092193	0.004512907	0.056674198
ENSG00000155438	-0.044931696	0.714525533	1	0.334735945	0.03914726	0.146881436	-0.069745441	0.804976393	1	-0.200206382	0.29196464	0.905543655
ENSG00000120805	-0.297434751	0.013617154	0.095057821	-0.571821017	0.001014816	0.008475268	-0.167921216	0.282760699	0.937393487	-0.237855136	0.150359688	0.661461124
ENSG00000211460	-0.418083638	0.001025	0.013303386	-0.52190374	1.52E-05	0.00024989	-0.475157607	0.008629511	0.110291204	-0.190067421	0.31307436	0.941904843
ENSG00000173226	0.192834903	0.342051595	0.753730066	-0.132082862	0.545452171	0.885836578	0.073657072	0.809043969	1	0.644460875	0.031683582	0.245530848
ENSG00000145088	0.106529021	0.8843338	1	-0.039157304	0.920684588	1	0.955924199	0.735398925	1	1.509321371	0.040924764	0.292245101
ENSG00000146457	1.279056672	2.26E-12	2.30E-10	1.64679666	3.80E-18	5.29E-16	0.030466166	0.837637581	1	-0.002295751	0.989310271	1
ENSG00000155561	-0.269182612	0.088632563	0.337763783	-0.315997628	0.020437844	0.0904053	0.043061511	0.791687765	1	-0.18506509	0.315589349	0.945399129
ENSG00000164694	-0.325350783	0.472130503	0.896656562	-1.051837012	0.161931237	0.40927717	-0.619344755	0.324182041	0.994955688	0.109348895	0.767376498	1
ENSG00000169435	0.162436068	1	1	1.796162669	0.049312945	0.174762419	0.572174708	0.549631793	1	0.056568902	0.874073987	1
ENSG00000163406	2.337947969	0.00170047	0.019684284	0.800663605	0.12014553	0.334260663	0	1	1	5.091302552	0.004413498	0.05584447
ENSG00000135604	0.704312473	0.008601844	0.067789412	2.135788912	3.12E-09	1.23E-07	2.539712749	3.14E-18	4.45E-16	3.314719401	7.07E-30	2.30E-27
ENSG00000169087	0.164367128	0.34465304	0.757598371	0.30755326	0.367972387	0.70709962	-0.049004918	0.877115298	1	-0.213842439	0.344630199	0.985953691
ENSG00000145242	0.008720255	1	1	0	1	1	-1.915015717	0.257076296	0.918462515	0.940399032	0.156421852	0.665684587
ENSG00000121690	-0.116605468	0.517149776	0.920338622	0.013275245	0.974684826	1	-0.150584515	0.348047558	1	-0.604524828	0.184878374	0.729463939
ENSG00000080802	0.269770071	0.022298645	0.133938986	0.280061405	0.07863573	0.247381804	0.521935337	0.001538529	0.029162668	0.356671844	0.052310699	0.343107768
ENSG00000145241	0.340802596	0.128359075	0.429770415	0.196786029	0.479568356	0.838214923	0.28733208	0.373539633	1	0.202573086	0.4404211	1
ENSG00000035720	0	1	1	0	1	1	0	1	1	3.198822886	0.281339077	0.890470891
ENSG00000176102	-0.006976993	0.958260336	1	-0.009779565	0.945929073	1	0.306191229	0.063461962	0.427020066	-0.091077042	0.650541063	1
ENSG00000082684	2.541108799	0.022062085	0.133323272	0.241346613	0.250729181	0.55742862	-0.382447958	0.80821786	1	3.361402021	0.011651539	0.118840245
ENSG00000185567	-0.422735391	0.322623585	0.729325732	-0.552366661	0.045013021	0.163416507	-0.733471207	0.032684903	0.283126659	-1.102361344	1.52E-06	5.65E-05
ENSG00000176148	0.035576868	0.789131987	1	0.021118394	0.904704625	1	-0.293313616	0.32750243	0.999380844	-0.414236301	0.063738545	0.39105768
ENSG00000065485	-0.099147775	0.536546177	0.938646136	-0.30209756	0.162535699	0.410612496	-0.232483218	0.361209391	1	-0.209512445	0.343582009	0.984967968
ENSG00000140104	0.357719894	0.162022996	0.494298282	0.259831673	0.283730723	0.595624675	0.076795572	0.823953931	1	-0.756164792	0.014515092	0.140944103
ENSG00000170779	0.058961914	0.856474709	1	-0.008029954	0.966592871	1	0.544530125	0.001178349	0.023561585	-0.057011631	0.806679284	1
